,Title,Dates,Score
0,The House With A Clock In Its Walls,In Theaters Sep 21,67%
1,A Simple Favor,In Theaters Sep 14,84%
2,The Nun,In Theaters Sep 7,27%
3,The Predator,In Theaters Sep 14,34%
4,Crazy Rich Asians,In Theaters Aug 15,93%
5,White Boy Rick,In Theaters Sep 14,59%
6,Peppermint,In Theaters Sep 7,11%
7,Fahrenheit 11/9,In Theaters Sep 21,77%
8,The Meg,In Theaters Aug 10,46%
9,Searching,In Theaters Aug 31,93%
10,Life Itself,In Theaters Sep 21,11%
11,Unbroken: Path To Redemption,In Theaters Sep 14,26%
12,Mission: Impossible - Fallout,In Theaters Jul 27,97%
13,Christopher Robin,In Theaters Aug 3,71%
14,Assassination Nation,In Theaters Sep 21,67%
15,The Wife,In Theaters Aug 17,85%
16,BlacKkKlansman,In Theaters Aug 10,95%
17,Hotel Transylvania 3: Summer Vacation,In Theaters Jul 13,59%
18,Incredibles 2,In Theaters Jun 15,94%
19,Alpha,In Theaters Aug 17,81%
20,Operation Finale,In Theaters Aug 29,59%
21,Mamma Mia! Here We Go Again,In Theaters Jul 20,80%
22,Ant-Man And The Wasp,In Theaters Jul 6,88%
23,Lizzie,In Theaters Sep 14,67%
24,Jurassic World: Fallen Kingdom,In Theaters Jun 22,49%
25,"Love, Gilda",In Theaters Sep 21,84%
26,Colette,In Theaters Sep 21,89%
27,Batti Gul Meter Chalu,In Theaters Sep 21,14%
28,Ya Veremos,In Theaters Aug 31,0%
29,The Great Battle,In Theaters Sep 21,
30,"Juliet, Naked",In Theaters Aug 17,81%
31,Husband Material (Manmarziyaan),In Theaters,80%
