,category,critics_rating,audience_rating
21 Jump Street,Essential Comedies,84,82
Airplane!,Essential Comedies,97,89
Alone,Popular in Theaters,94,
Anna and the Apocalypse,Hidden Gem Movies on Prime,77,62
Antebellum,New & Upcoming Movies,27,64
BPM (Beats Per Minute),Hidden Gem Movies on Hulu,98,83
Bill & Ted Face the Music,Popular in Theaters,81,74
Bone Tomahawk,Hidden Gem Movies on Prime,90,73
Booksmart,Essential Comedies,96,77
Buried,Hidden Gem Movies on Hulu,87,65
Charm City Kings,New & Upcoming Movies,88,
Coming to America,Essential Comedies,65,85
Crazy Rich Asians,Essential Comedies,91,76
Destination Wedding,Hidden Gem Movies on Prime,51,58
Enola Holmes,New & Upcoming Movies,88,
Fast Color,Hidden Gem Movies on Hulu,81,63
Infidel,Popular in Theaters,56,89
Kajillionaire,New & Upcoming Movies,93,
Love & Mercy,Hidden Gem Movies on Hulu,89,85
Misbehaviour,New & Upcoming Movies,89,
Monsters and Men,Hidden Gem Movies on Hulu,84,74
Roman Holiday,Hidden Gem Movies on Prime,97,93
Seven Psychopaths,Hidden Gem Movies on Prime,83,71
Shoplifters,Hidden Gem Movies on Hulu,99,91
Spy,Essential Comedies,95,78
Step Brothers,Essential Comedies,55,69
Tenet,Popular in Theaters,73,76
The Big Lebowski,Essential Comedies,83,93
The Boys in the Band,New & Upcoming Movies,,
The Broken Hearts Gallery,Popular in Theaters,76,89
The Devil All the Time,New & Upcoming Movies,64,83
The Glorias,New & Upcoming Movies,73,
The Handmaiden,Hidden Gem Movies on Prime,95,91
The Nest,Popular in Theaters,89,
The New Mutants,Popular in Theaters,34,55
The Overnight,Hidden Gem Movies on Prime,83,54
The Personal History of David Copperfield,Popular in Theaters,93,55
The School of Rock,Essential Comedies,91,64
The Secrets We Keep,Popular in Theaters,66,
The Swerve,New & Upcoming Movies,100,
The Trial of the Chicago 7,New & Upcoming Movies,,
Unhinged,Popular in Theaters,47,76
Wild Rose,Hidden Gem Movies on Hulu,92,87
