Ticker,"Market Capitalization, $K","Shares Outstanding, K",Annual Sales,Annual Net Income,Last Quarter Sales,Last Quarter Net Income,36-Month Beta,% of Insider Shareholders,% of Institutional Shareholders,1-Year Total Return,3-Year Total Return,5-Year Total Return,5-Year Revenue Growth,5-Year Earnings Growth,5-Year Dividend Growth,Price/Earnings ttm,Price/Earnings to Growth,Return-on-Assets Before Tax,Debt/Equity,Price/Cash Flow,Book Value/Share,Price/Earnings forward,Return-on-Equity After Tax,Net Margin %,Price/Sales,Price/Book,Interest Coverage
A,"20,525,854","322,480","4,472 M","684,000 K","1,211 M","-320,000 K",1.31,0.53%,85.85%,24.30%,46.15%,99.13%,-34.79%,-24.36%,76.67%,26.27,2.18,9.72,0.37,21.57,14.01,23.57,17.7,14.78,4.74,4.69,11.16
AAL,"23,794,212","473,140","42,207 M","1,919 M","10,600 M","258,000 K",0.96,0.64%,80.54%,20.33%,5.36%,211.59%,69.81%,0.00%,0.00%,10.64,0.47,4.57,5.73,5.8,8.2,8.46,63.78,,0.58,6.35,3.93
AAP,"8,279,103","73,980","9,374 M","475,510 K","2,037 M","184,500 K",1.04,4.10%,-21.08%,-25.49%,36.49%,51.07%,2.87%,0.00%,0.77 on 02/21/18,21.63,1.4,4.71,0.31,13.28,46.21,16.7,12.45,5.92,0.92,2.52,9.85
AAPL,"854,361,792","5,074,010","229,234 M","48,351 M","88,293 M","20,065 M",1.25,0.08%,61.35%,20.05%,32.48%,174.23%,46.47%,45.96%,531.58%,17.76,1.31,13.83,0.74,15.26,27.56,14.8,37.37,23.53,3.82,6.27,0.0
ABBV,"142,567,936","1,587,970","28,216 M","5,309 M","7,739 M","52,000 K",1.61,0.07%,70.54%,41.65%,44.81%,108.35%,53.51%,67.16%,0.00%,16.5,0.87,13.24,6.07,14.0,3.19,11.95,158.15,,5.19,28.88,8.7
ABC,"18,762,016","219,670","153,144 M","364,480 K","40,466 M","861,850 K",1.06,27.30%,67.31%,-0.92%,-25.96%,57.64%,92.66%,107.77%,180.77%,14.37,1.31,3.82,1.61,10.97,13.16,13.01,53.65,0.88,0.13,6.64,7.32
ABT,"100,536,216","1,746,330","27,390 M","477,000 K","7,589 M","-828,000 K",1.5,0.74%,72.37%,33.88%,22.10%,55.05%,-31.31%,-50.69%,-47.26%,23.94,1.78,6.05,0.87,12.5,17.87,20.14,13.88,13.78,3.82,3.35,3.47
ACN,"93,627,576","635,280","36,765 M","3,445 M","10,068 M","863,700 K",1.04,0.21%,75.58%,27.60%,55.64%,90.83%,23.47%,53.91%,79.26%,23.79,2.27,17.96,0.0,21.16,16.43,22.04,41.5,8.12,2.62,9.22,297.85
ADBE,"107,658,864","492,470","7,302 M","1,694 M","2,079 M","583,080 K",1.04,0.33%,87.03%,70.65%,185.65%,385.48%,65.80%,95.11%,0.00%,55.33,2.58,14.22,0.22,51.84,17.53,40.89,24.42,23.78,15.08,12.75,29.73
ADI,"32,657,036","369,800","5,108 M","727,260 K","1,519 M","268,170 K",1.22,1.10%,88.55%,12.36%,37.47%,98.05%,89.09%,121.60%,53.91%,17.62,1.35,8.46,0.74,14.97,27.77,15.69,18.79,29.83,6.58,3.28,4.3
