Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Options
A,Agilent Technologies,64.84,1.19,1.87%,65.33,64.08,"112,908",10:06 ET,Yes
AAL,American Airlines Gp,50.12,-0.17,-0.34%,50.79,50.04,"110,730",10:06 ET,Yes
AAP,Advance Auto Parts Inc,112.73,0.82,0.73%,114.61,112.5,"12,984",10:05 ET,Yes
AAPL,Apple Inc,171.35,2.97,1.76%,171.61,169.88,"1,018,986",10:06 ET,Yes
ABBV,Abbvie Inc,91.64,1.86,2.07%,92.45,90.8,"206,578",10:06 ET,Yes
ABC,Amerisourcebergen Corp,85.83,0.42,0.49%,86.05,85.34,"8,957",10:06 ET,Yes
ABT,Abbott Laboratories,57.91,0.34,0.59%,57.96,57.45,"66,204",10:06 ET,Yes
ACN,Accenture Plc,148.7,1.32,0.90%,149.02,148.29,"20,700",10:06 ET,Yes
ADBE,Adobe Systems Inc,221.06,2.45,1.12%,221.42,219.2,"49,227",10:05 ET,Yes
ADI,Analog Devices,89.45,1.14,1.29%,89.28,88.52,"16,314",10:06 ET,Yes
ADM,Archer Daniels Midland Company,44.5,0.17,0.38%,44.61,44.19,"58,916",10:06 ET,Yes
ADP,Automatic Data Procs,114.95,1.25,1.10%,115.07,113.97,"12,248",10:06 ET,Yes
ADS,Alliance Data Systems Corp,206.8,1.05,0.51%,206.32,205.74,"5,008",10:05 ET,Yes
ADSK,Autodesk Inc,127.73,1.98,1.57%,127.89,126.39,"8,609",10:06 ET,Yes
AEE,Ameren Corp,57.07,-0.06,-0.11%,57.22,56.94,"10,450",10:06 ET,Yes
AEP,American Electric Power Company,68.59,0.06,0.09%,68.71,68.32,"43,794",10:06 ET,Yes
AES,The Aes Corp,11.4,-0.02,-0.18%,11.45,11.36,"72,003",10:05 ET,Yes
AET,Aetna Inc,169.97,-0.41,-0.24%,170.64,169.45,"24,725",10:06 ET,Yes
AFL,Aflac Incorporated,43.44,0.07,0.16%,43.66,43.44,"21,318",10:06 ET,Yes
AGN,Allergan Plc,161.61,0.09,0.06%,162.98,160.88,"42,126",10:06 ET,Yes
AIG,American International Group,53.36,-0.24,-0.45%,53.81,53.3,"127,009",10:06 ET,Yes
AIV,Apartment Investment and Management,41.07,-0.02,-0.05%,41.16,40.97,"2,871",10:05 ET,Yes
AIZ,Assurant Inc,90.02,0.48,0.54%,90.42,89.8,"22,333",10:02 ET,Yes
AJG,Arthur J. Gallagher & Co,67.33,0.24,0.36%,67.5,67.18,"3,429",10:05 ET,Yes
AKAM,Akamai Technologies,70.78,1.44,2.08%,70.79,70,"15,211",10:06 ET,Yes
ALB,Albemarle Corp,91.05,-0.75,-0.82%,92.4,90.78,"14,591",10:05 ET,Yes
ALGN,Align Technology I,250.42,5.19,2.12%,251.25,247.62,"12,622",10:05 ET,Yes
ALK,Alaska Air Group,60.39,-0.38,-0.63%,61.06,60.27,"54,409",10:06 ET,Yes
ALL,Allstate Corp,96.07,0.17,0.18%,96.33,95.47,"21,468",10:05 ET,Yes
ALLE,Allegion Plc Ordinary Shares Wh,85.18,0.43,0.51%,85,84.6,"3,516",10:01 ET,Yes
ALXN,Alexion Pharm Inc,109.87,0.63,0.58%,110.81,108.9,"94,452",10:06 ET,Yes
AMAT,Applied Materials,53.86,1.52,2.90%,53.96,52.87,"241,031",10:06 ET,Yes
AMD,Adv Micro Devices,9.76,0.15,1.56%,9.8,9.63,"1,320,174",10:06 ET,Yes
AME,Amtek Inc,74.36,0.82,1.12%,74.58,74.08,"5,791",10:06 ET,Yes
AMG,Affiliated Managers Group,177.52,1.08,0.61%,177.88,176.6,"4,266",10:05 ET,Yes
AMGN,Amgen,168.64,0.5,0.30%,169.46,167.99,"48,642",10:06 ET,Yes
AMP,Ameriprise Financial Services,141.78,0.47,0.33%,142.88,141.61,"5,714",10:05 ET,Yes
AMT,American Tower Corp,143.13,0.97,0.68%,143.45,142.36,"25,767",10:06 ET,Yes
AMZN,Amazon.Com Inc,1435.2,29.97,2.13%,1438.16,1417.68,"209,205",10:06 ET,Yes
ANDV,Andeavor,107.94,1.04,0.97%,108.08,106.83,"151,715",10:06 ET,Yes
ANSS,Ansys Inc,156.25,2.66,1.73%,156.25,154.95,"2,109",10:05 ET,Yes
ANTM,Anthem Inc,225.84,1.06,0.47%,227.61,225.53,"6,671",10:06 ET,Yes
AON,AON Plc,138.3,0.1,0.07%,138.74,138.08,"26,235",10:04 ET,Yes
AOS,Smith [A.O.] Corp,63.49,0.32,0.51%,63.82,63.15,"6,376",10:01 ET,Yes
APA,Apache Corp,38.86,0.52,1.36%,38.97,38.35,"55,550",10:06 ET,Yes
APC,Anadarko Petroleum Corp,60.04,1.18,2.00%,60.16,59.12,"66,886",10:06 ET,Yes
APD,Air Products and Chemicals,160.98,1.02,0.64%,161.57,160.15,"3,300",10:06 ET,Yes
APH,Amphenol Corp,83.47,0.9,1.09%,83.52,82.78,"8,737",10:06 ET,Yes
APTV,Aptiv Plc,84.15,0.33,0.39%,84.73,84.04,"10,891",10:05 ET,Yes
