Unique_ID,Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date,Date
H5444-Plan ID_blank,H5444,Plan ID_blank,Pilot,Pilot,No,No,No,"RMS DM, LLC DEMO PROJECT","Rms Dm, Llc",Plan Name_blank,Davita Inc,10/01/2005 0:00:00,2016-04-01
H2232-Plan ID_blank,H2232,Plan ID_blank,Pilot,Pilot,No,No,No,MASSACHUSETTS GENERAL PHYSICIANS DEMO PROJECT,Health Diaglog,Plan Name_blank,Health Diaglog,10/01/2005 0:00:00,2016-04-01
H7529-2,H7529,2.0,National PACE,National PACE,Yes,No,No,"PENNSYLVANIA PACE, INC.",Dauphin county PACE,Senior LIFE Harrisburg MC Only (PACE),"Pennsylvania PACE, Inc.",Contract Effective Date_blank,2016-07-01
H7529-1,H7529,1.0,National PACE,National PACE,Yes,No,No,"PENNSYLVANIA PACE, INC.",Dauphin county PACE,Senior LIFE Harrisburg Dual Eligible (PACE),"Pennsylvania PACE, Inc.",Contract Effective Date_blank,2016-07-01
H1768-2,H1768,2.0,National PACE,National PACE,Yes,No,No,TRU COMMUNITY CARE,TRU PACE,TRU Community Care (PACE),TRU Community Care,Contract Effective Date_blank,2016-08-01
H1768-1,H1768,1.0,National PACE,National PACE,Yes,No,No,TRU COMMUNITY CARE,TRU PACE,TRU Community Care (PACE),TRU Community Care,Contract Effective Date_blank,2016-08-01
H7149-5,H7149,5.0,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (PA),Coventry Health Care,Advantra Connect Plus (HMO),Aetna Inc.,01/01/2008 0:00:00,2016-12-01
H7020-802,H7020,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Premier Rx CY (HMO-POS),CIGNA,01/01/2014 0:00:00,2016-12-01
H7020-806,H7020,806.0,Local CCP,HMO/HMOPOS,No,No,Yes,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Premier FY (HMO-POS),CIGNA,01/01/2014 0:00:00,2016-12-01
H7020-805,H7020,805.0,Local CCP,HMO/HMOPOS,No,No,Yes,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Preferred FY (HMO),CIGNA,01/01/2014 0:00:00,2016-12-01
H7020-804,H7020,804.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Premier Rx FY (HMO-POS),CIGNA,01/01/2014 0:00:00,2016-12-01
H7020-803,H7020,803.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Preferred Rx FY (HMO),CIGNA,01/01/2014 0:00:00,2016-12-01
H7187-3,H7187,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF WISCONSIN, INC.",UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),"UnitedHealth Group, Inc.",01/01/2007 0:00:00,2016-12-01
H7220-805,H7220,805.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Premiere EGWP NCY (HMO),Indiana University Health,01/01/2009 0:00:00,2016-12-01
H7220-804,H7220,804.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Premiere EGWP CY (HMO),Indiana University Health,01/01/2009 0:00:00,2016-12-01
H7220-802,H7220,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Premiere Plus EGWP NCY (HMO-POS),Indiana University Health,01/01/2009 0:00:00,2016-12-01
H7220-801,H7220,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Premiere Plus EGWP CY (HMO-POS),Indiana University Health,01/01/2009 0:00:00,2016-12-01
H7187-11,H7187,11.0,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF WISCONSIN, INC.",UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),"UnitedHealth Group, Inc.",01/01/2007 0:00:00,2016-12-01
H7187-10,H7187,10.0,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF WISCONSIN, INC.",UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),"UnitedHealth Group, Inc.",01/01/2007 0:00:00,2016-12-01
H7187-9,H7187,9.0,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF WISCONSIN, INC.",UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),"UnitedHealth Group, Inc.",01/01/2007 0:00:00,2016-12-01
H7006-6,H7006,6.0,Local CCP,Local PPO,No,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Bronze (Willamette) (PPO),ATRIO Health Plans,01/01/2010 0:00:00,2016-12-01
H6859-7,H6859,7.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.","Humana Medical Plan of Pennsylvania, Inc.",Humana Gold Plus H6859-007 (HMO),Humana Inc.,01/01/2014 0:00:00,2016-12-01
H7020-1,H7020,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna-Healthspring,Cigna-HealthSpring Preferred (HMO),CIGNA,01/01/2014 0:00:00,2016-12-01
H7006-5,H7006,5.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Bronze Rx (Willamette) (PPO),ATRIO Health Plans,01/01/2010 0:00:00,2016-12-01
H6974-1,H6974,1.0,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"ALPHACARE OF NEW YORK, INC.",AlphaCare Signature FIDA Plan,AlphaCare Signature FIDA Plan (Medicare-Medicaid Plan),"Magellan Health, Inc.",01/01/2015 0:00:00,2016-12-01
H6951-1,H6951,1.0,Local CCP,Local PPO,No,No,No,TRILLIUM COMMUNITY HEALTH PLAN,Trillium Medicare Advantage,Trillium Advantage Pioneer (PPO),Centene Corporation,01/01/2014 0:00:00,2016-12-01
H7903-1,H7903,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,CLEARRIVER HEALTH,ClearRiver Health,Classic Plus Rx (HMO),Catholic Health Initiatives,01/01/2015 0:00:00,2016-12-01
H7542-1,H7542,1.0,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"ADVICARE, CORP.",Advicare Advocate,"Advicare, Corp. (Medicare-Medicaid Plan)","Spartanburg Regional Health Services District, Inc",02/01/2015 0:00:00,2016-12-01
H7522-803,H7522,803.0,Local CCP,Local PPO,Yes,No,Yes,"MMM HEALTHCARE, LLC",Medicare y Mucho Mßs,First+Plus - Advantage C Non Calendar (PPO),InnovaCare Inc.,01/01/2016 0:00:00,2016-12-01
H7301-8,H7301,8.0,Local CCP,Local PPO,Yes,No,No,"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Coventry Health Care of Illinois, Inc.",Advantra Connect Plus (PPO),Aetna Inc.,01/01/2008 0:00:00,2016-12-01
H6609-113,H6609,113.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-113 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-75,H6609,75.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-075 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-86,H6609,86.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-086 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-107,H6609,107.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-107 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-99,H6609,99.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-099 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6609-98,H6609,98.0,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana Insurance Company,HumanaChoice H6609-098 (PPO),Humana Inc.,01/01/2010 0:00:00,2016-12-01
H6360-805,H6360,805.0,1876 Cost,1876 Cost,Yes,No,Yes,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus Group - B only (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-801,H6360,801.0,1876 Cost,1876 Cost,Yes,No,Yes,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Plus Group (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
H6360-13,H6360,13.0,1876 Cost,1876 Cost,No,No,No,HEALTHSPAN INTEGRATED CARE,HealthSpan,HealthSpan Medicare Only Basic - B Only (Cost),Catholic Health Partners,01/01/1987 0:00:00,2016-12-01
